 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23
Time(s)/Cell Status, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided
0, 0.002110084, -0.01757244, 0.01219092, 0.01980197, 0.001583876, -0.01107097, -0.01210986, 0.01733054, -0.01574116, -0.00883753, -0.007396056, 0.00269981, -0.003009526, -0.005792785, 0.001455708, -0.01015523, -0.01591413, -0.01037777, -0.003093778, -0.0001319626, 0.03134939, 0.001229255, -0.0003910781, 0.004436621
0.049961, 0.003158371, -0.01743125, 0.01324974, 0.02345193, 0.003955358, 0.006896159, -0.01496805, 0.01085556, -0.01605989, 0.01250932, -0.00524745, -0.006948109, -0.008548508, -0.004739969, 0.006839932, -0.008727411, -0.01136476, -0.008783138, -0.007106607, -0.002226656, 0.02597035, -0.002998442, -0.009766447, -0.001156038
0.099922, -0.002865222, -0.01600821, 0.006824346, 0.01538395, 0.002899242, 0.01272703, -0.009007504, 0.01263692, -0.01563339, 0.02530249, -0.01293524, -0.002084461, -0.00474772, -0.0031361, 0.0137657, -0.008394598, -0.01493978, -0.006980169, -0.00284773, -0.001247481, 0.01789629, -0.004237142, -0.008927723, 0.00696049
0.149883, 2.300745e-05, -0.0219691, 0.007341674, 0.02094123, 0.005023398, 0.02262379, -0.02188411, 0.005352534, -0.02148949, 0.02952198, -0.01022444, -0.002980483, -0.007472611, -0.00437173, 0.01227819, -0.01541594, -0.007443786, -0.01042061, -0.009141047, -0.002176832, 0.02038368, -0.001610199, -0.01087289, 0.0006586433
0.199844, -0.001702735, -0.01896246, 0.01074153, 0.01841193, -0.0001339236, 0.02102536, -0.016918, 0.01026293, -0.01978334, 0.03381059, -0.01657105, -0.01199452, -0.008379827, -0.007142826, 0.01254695, -0.01631248, -0.01931823, -0.007687604, -0.003791954, 0.004069849, 0.02224529, -0.005276037, -0.007709485, -0.005506643
0.249805, -0.01049844, -0.01803537, 0.008505107, 0.01904439, 0.003529045, 0.02091704, -0.01398903, 0.007261813, -0.01844664, 0.0357354, -0.01389922, -0.01625359, -0.01345258, -0.004842392, 0.0134856, -0.01515054, -0.01837384, -0.01015062, -0.0004540007, 0.0006103467, 0.01740597, -0.005113525, -0.01372501, -0.001886229
0.299766, -0.006422671, -0.02248086, 0.006862476, 0.01381645, 0.001492132, 0.02068429, -0.02047678, 0.01597609, -0.02144014, 0.03909032, -0.01995642, -0.01604953, -0.01042943, -0.003627227, 0.01257684, -0.01268615, -0.01998238, -0.0144292, 0.002862508, 0.0008705357, 0.02091195, -0.003681783, -0.01397641, -0.005438799
0.349727, -0.007390114, -0.02805202, 0.008098135, 0.02310801, -0.0001651167, 0.01904902, -0.01792481, 0.006548788, -0.01667488, 0.0339503, -0.0197589, -0.01927054, -0.009228542, -0.01133246, 0.01058544, -0.0146603, -0.02086219, -0.01422394, -0.01000391, 0.0005022252, 0.01287629, -0.003278204, -0.01442425, -0.0004936929
0.399688, -0.004735226, -0.02660115, 0.007541368, 0.01591547, -0.003014455, 0.0184308, -0.02438858, 0.01108517, -0.02148505, 0.02848242, -0.01770693, -0.01869759, -0.00904768, -0.0098385, 0.01445917, -0.01477851, -0.02261982, -0.01579153, -0.005383122, -0.000157289, 0.01238692, -0.01026798, -0.01358915, -0.003558354
0.449649, -0.004348292, -0.02895145, -1.114736e-05, 0.01099477, -0.002015739, 0.01483818, -0.02774896, 0.004199698, -0.02741691, 0.02487369, -0.01756311, -0.02122549, -0.009609042, -0.007882044, 0.01307788, -0.01035625, -0.02061773, -0.01736177, -0.006517082, -0.002764057, 0.009810015, -0.01070621, -0.01473757, -0.006252428
